Year,FG,FGA,TP,TPA,CSV
1980,45,92,0,0.67,
1981,40.17,85.33,0.5,2.83,
1982,45.5,91.83,0.17,1.5,
1983,43,88.5,0,0.75,
1984,42,92.86,1.29,3.29,
1985,46.33,90.5,1.33,3.83,
1986,43.67,88.83,1.67,5.33,
1987,46.67,90.67,2.67,6.83,
1988,35.43,75.86,1.43,5.71,
1989,41.75,79.25,1.25,5,
1990,39.4,86.8,5,11.2,
1991,42.6,80.8,1,4.2,
1992,40.17,79.67,4.17,10.83,
1993,43.83,90.67,5.33,11.5,
1994,31.86,74.71,5.29,17.29,
1995,40.5,85.75,9.25,23,
1996,32.83,79,6,22.83,
1997,32.33,74.83,6.5,18.67,
1998,32.5,75.5,4.33,14.67,
1999,30,67.4,4.2,12.4,
2000,41,85.33,5.83,15.33,
2001,36.2,77.8,7.2,15,
2002,36.5,72.25,7.25,15.25,
2003,32.17,74.5,4,12.5,
2004,31.4,73.2,4.2,13.2,
2005,30.86,71.86,7.29,18.29,
2006,33.33,72.83,5.33,17.5,
2007,32,72,7.25,19.5,
2008,34.33,77.33,8.67,20.17,
2009,38,83.2,6.4,17.2,
2010,31.86,76.29,5,17.86,
2011,33,72.67,8.5,20.67,
2012,35.33,77,8.33,20.5,
2013,38,82.17,9.33,20.5,
2014,38.2,72.4,11,23.6,
2015,36.17,83,11.17,31,
2016,37.57,82.43,8,24.29,
2017,43.2,91,14.2,37.2,
2018,43.5,84.75,12.75,34,
