GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2022-12-14,22200415,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29:33:00,11,19,0.579,5,10,0.5,38
2022-12-13,22200410,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27:19:00,6,17,0.353,3,10,0.3,20
2022-12-10,22200392,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:26:00,12,21,0.571,6,11,0.545,32
2022-12-05,22200359,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:42:00,3,17,0.176,2,10,0.2,12
2022-12-03,22200342,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:32:00,10,21,0.476,8,17,0.471,30
2022-12-02,22200336,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33:22:00,6,16,0.375,4,8,0.5,19
2022-11-29,22200310,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:48:00,11,24,0.458,5,14,0.357,32
2022-11-27,22200291,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32:37:00,7,17,0.412,4,11,0.364,25
2022-11-25,22200284,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35:43:00,13,23,0.565,6,13,0.462,33
2022-11-23,22200271,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31:41:00,9,20,0.45,4,10,0.4,22
2022-11-20,22200245,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:60,11,20,0.55,7,14,0.5,33
2022-11-18,22200233,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33:50:00,9,19,0.474,5,13,0.385,24
2022-11-16,22200220,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:14:00,17,28,0.607,7,11,0.636,50
2022-11-14,22200205,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27:01:00,5,11,0.455,3,7,0.429,16
2022-11-13,22200197,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:51:00,9,17,0.529,3,9,0.333,27
2022-11-11,22200182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:00:00,15,23,0.652,6,11,0.545,40
2022-11-07,22200156,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:43:00,17,24,0.708,7,12,0.583,47
2022-11-03,22200118,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38:21:00,13,22,0.591,8,15,0.533,39
2022-11-01,22200104,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:29:00,7,14,0.5,4,10,0.4,23
2022-10-30,22200091,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34:59:00,10,24,0.417,4,14,0.286,32
2022-10-29,22200082,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38:54:00,10,22,0.455,3,13,0.231,31
2022-10-27,22200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36:56:00,13,22,0.591,7,14,0.5,33
2022-10-25,22200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29:55:00,7,17,0.412,4,9,0.444,21
2022-10-23,22200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31:21:00,11,22,0.5,7,12,0.583,33
2022-10-21,22200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35:55:00,10,22,0.455,5,11,0.455,34
2022-10-18,22200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32:48:00,10,22,0.455,4,13,0.308,33
