Year,FG,FGA,FGP,TP,TPA,TPP,PTS,TPA/(TPA+FGA)
1980,45.00 ,92.00 ,48.91%,0.00 ,0.67 ,0.00%,109.50 ,0.72%
1981,40.17 ,85.33 ,47.07%,0.50 ,2.83 ,17.65%,96.50 ,3.21%
1982,45.50 ,91.83 ,49.55%,0.17 ,1.50 ,11.11%,112.33 ,1.61%
1983,43.00 ,88.50 ,48.59%,0.00 ,0.75 ,0.00%,110.50 ,0.84%
1984,42.00 ,92.86 ,45.23%,1.29 ,3.29 ,39.13%,116.00 ,3.42%
1985,46.33 ,90.50 ,51.20%,1.33 ,3.83 ,34.78%,115.83 ,4.06%
1986,43.67 ,88.83 ,49.16%,1.67 ,5.33 ,31.25%,107.67 ,5.66%
1987,46.67 ,90.67 ,51.47%,2.67 ,6.83 ,39.02%,115.17 ,7.01%
1988,35.43 ,75.86 ,46.70%,1.43 ,5.71 ,25.00%,98.71 ,7.01%
1989,41.75 ,79.25 ,52.68%,1.25 ,5.00 ,25.00%,109.00 ,5.93%
1990,39.40 ,86.80 ,45.39%,5.00 ,11.20 ,44.64%,107.00 ,11.43%
1991,42.60 ,80.80 ,52.72%,1.00 ,4.20 ,23.81%,101.40 ,4.94%
1992,40.17 ,79.67 ,50.42%,4.17 ,10.83 ,38.46%,104.00 ,11.97%
1993,43.83 ,90.67 ,48.35%,5.33 ,11.50 ,46.38%,106.67 ,11.26%
1994,31.86 ,74.71 ,42.64%,5.29 ,17.29 ,30.58%,86.14 ,18.79%
1995,40.50 ,85.75 ,47.23%,9.25 ,23.00 ,40.22%,114.00 ,21.15%
1996,32.83 ,79.00 ,41.56%,6.00 ,22.83 ,26.28%,93.00 ,22.42%
1997,32.33 ,74.83 ,43.21%,6.50 ,18.67 ,34.82%,87.83 ,19.96%
1998,32.50 ,75.50 ,43.05%,4.33 ,14.67 ,29.55%,88.00 ,16.27%
1999,30.00 ,67.40 ,44.51%,4.20 ,12.40 ,33.87%,84.80 ,15.54%
2000,41.00 ,85.33 ,48.05%,5.83 ,15.33 ,38.04%,104.83 ,15.23%
2001,36.20 ,77.80 ,46.53%,7.20 ,15.00 ,48.00%,100.60 ,16.16%
2002,36.50 ,72.25 ,50.52%,7.25 ,15.25 ,47.54%,106.00 ,17.43%
2003,32.17 ,74.50 ,43.18%,4.00 ,12.50 ,32.00%,87.83 ,14.37%
2004,31.40 ,73.20 ,42.90%,4.20 ,13.20 ,31.82%,90.80 ,15.28%
2005,30.86 ,71.86 ,42.94%,7.29 ,18.29 ,39.84%,84.86 ,20.29%
2006,33.33 ,72.83 ,45.77%,5.33 ,17.50 ,30.48%,92.83 ,19.37%
2007,32.00 ,72.00 ,44.44%,7.25 ,19.50 ,37.18%,86.50 ,21.31%
2008,34.33 ,77.33 ,44.40%,8.67 ,20.17 ,42.98%,102.17 ,20.68%
2009,38.00 ,83.20 ,45.67%,6.40 ,17.20 ,37.21%,100.60 ,17.13%
2010,31.86 ,76.29 ,41.76%,5.00 ,17.86 ,28.00%,90.57 ,18.97%
2011,33.00 ,72.67 ,45.41%,8.50 ,20.67 ,41.13%,94.67 ,22.14%
2012,35.33 ,77.00 ,45.89%,8.33 ,20.50 ,40.65%,99.67 ,21.03%
2013,38.00 ,82.17 ,46.25%,9.33 ,20.50 ,45.53%,98.50 ,19.97%
2014,38.20 ,72.40 ,52.76%,11.00 ,23.60 ,46.61%,105.60 ,24.58%
2015,36.17 ,83.00 ,43.57%,11.17 ,31.00 ,36.02%,100.67 ,27.19%
2016,37.57 ,82.43 ,45.58%,8.00 ,24.29 ,32.94%,100.43 ,22.76%
2017,43.20 ,91.00 ,47.47%,14.20 ,37.20 ,38.17%,121.60 ,29.02%
2018,43.50 ,84.75 ,51.33%,12.75 ,34.00 ,37.50%,116.00 ,28.63%
