Year,FG,FGA,TP,TPA,CSV
1980,43,88.33,0.17,2.67,
1981,33.83,89.33,0.5,1.83,
1982,46.17,92.5,0.67,2.33,
1983,40.75,90.25,0.75,3.75,
1984,46.71,90.71,0.86,2.57,
1985,43.83,92,2.17,5.67,
1986,41.83,92.83,0.83,2.83,
1987,43.67,86.17,2.33,7,
1988,38.57,81,1.29,4.43,
1989,36,77.5,3.25,10.75,
1990,37.4,82,2.2,9.4,
1991,33.4,74.8,2.6,9.2,
1992,35.33,79.83,1.67,8.67,
1993,40.67,86.83,4.5,10.33,
1994,33.14,81.43,5.14,15,
1995,40.75,87.5,10.25,29.5,
1996,31,69.67,5.33,17,
1997,30.83,71.67,5.83,14.17,
1998,31.83,71.83,2.17,10,
1999,30.8,78.6,2.2,10.8,
2000,36.33,78.5,8.17,19.33,
2001,35.4,83.4,3.4,11.8,
2002,38.75,88.75,4.5,14.75,
2003,30.33,82,3.83,13.83,
2004,31.6,76,4.4,17.8,
2005,35.43,81.57,2.57,10.71,
2006,33,78.17,5.5,19.33,
2007,31,78.5,5.5,18.75,
2008,33,74.83,7.17,20.67,
2009,32.2,75.2,7.6,23,
2010,33,76.14,4.71,15.29,
2011,33.67,74.67,7.5,21.67,
2012,36.6,80.4,6.4,21,
2013,35.86,79.57,8.71,21.43,
2014,33.6,71.2,9.2,23.2,
2015,32.67,85.17,8.17,27.83,
2016,35.57,82.57,13.43,36,
2017,41.6,90.2,13.2,34.6,
2018,37.75,92,9,30.5,
