date,men_full,women_full,percent_full,diff_full,men_associate,women_associate,percent_associate,diff_associate,men_assistant,women_assistant,percent_assistant,diff_assistant
2003,160203,146957,0.917317404,13246,95730,83863,0.87603677,11867,83631,79365,0.948990207,4266
2004,166172,150782,0.907385119,15390,95527,84544,0.88502727,10983,84895,79432,0.935649921,5463
2005,168719,151677,0.898991815,17042,100600,89555,0.890208748,11045,87766,86026,0.980174555,1740
2006,177985,161009,0.904621176,16976,103886,93046,0.895654852,10840,91758,90311,0.984230258,1447
2007,185296,170868,0.922135394,14428,111888,95134,0.850260975,16754,98324,91285,0.928410154,7039
2008,194806,180404,0.926070039,14402,117899,99086,0.840431217,18813,103827,97894,0.942856868,5933
2009,195007,185319,0.950319732,9688,123059,106966,0.869225331,16093,105908,101632,0.959625335,4276
2010,196616,185526,0.943595638,11090,126180,111770,0.885798066,14410,106629,99627,0.934333061,7002
2011,207575,190624,0.91833795,16951,125501,113128,0.901411144,12373,113306,103273,0.911452174,10033
2012,203778,190539,0.935032241,13239,121734,111546,0.91630933,10188,,,,
2013,209331,193761,0.92562019,15570,124632,118395,0.949956672,6237,,,,
2014,218808,202761,0.926661731,16047,127962,121979,0.953243932,5983,120879,106425,0.88042588,14454
2015,234891,216963,0.923675237,17928,134856,136269,1.010477843,-1413,134163,119502,0.890722479,14661
